"","shape_id","Positive","Negative"
"1278",122588,143.46,-143.46
"1279",122589,158.13,-158.13
"1280",122590,79.85,-79.85
"1281",122591,148.59,-146.07
"1282",122592,160.74,-160.74
"1283",122593,82.46,-82.46
"1284",122594,103.52,-37.31
"1285",122595,94.38,-136.09
"1286",122596,50.42,-51.19
"1287",122597,86.05,-109.7
"1288",122598,64.48,-64.48
"1289",122599,59.77,-62.37
"1290",122600,88.16,-66.79
"1291",122601,79.45,-79.45
"1292",122602,31.25,-52.62
"1293",122603,57.99,-55.39
"1294",122604,50.2,-52.67
"1295",122605,48.84,-48.84
"1296",122606,56.04,-56.04
"1297",122607,54.03,-51.56
"1298",122608,46.19,-48.79
"1299",122609,24.82,-11.47
"1300",122610,13.35,-24.1
"1301",122611,70.01,-32.33
"1302",122612,215.46,-122.39
"1303",122613,242.63,-242.63
"1304",122614,29.48,-160.23
"1305",122615,211.84,-211.84
"1306",122616,238.43,-238.43
"1307",122617,176.63,-172.99
"1308",122618,163.87,-163.87
"1309",122619,158.98,-165.09
"1310",122620,152.52,-152.52
"1311",122621,170.72,-168.4
"1312",122622,155.83,-155.83
"1313",122623,154.41,-156.86
"1314",122624,47.5,-17.64
"1315",122625,14.43,-44.16
"1316",122626,106,-92.71
"1317",122627,42.79,-56.21
"1318",122628,101.95,-101.95
"1319",122629,107.76,-105.31
"1320",122630,54.64,-54.64
"1321",122631,137.9,-115.96
"1322",122632,120.54,-142.48
"1323",122633,23.53,-21.52
"1324",122634,12.84,-12.84
"1325",122635,16.36,-17.87
"1326",122636,22.93,-23.14
"1327",122637,19.62,-19.41
"1328",122638,352.77,-299.04
"1329",122639,368.73,-368.73
"1330",122640,363.34,-363.34
"1331",122641,278.09,-334.77
"1332",122642,349.81,-349.81
"1333",122643,356.66,-356.66
"1334",123919,260.27,-207.57
"1335",123937,189.89,-231.43
"1336",123938,222.81,-222.81
"1337",123954,202.85,-163.74
"1338",123955,89.99,-117.33
"1339",123956,276.81,-251.54
"1340",123957,123.99,-161.03
"1341",123973,201.73,-201.73
"1342",123974,275.12,-273.31
"1343",123975,228.22,-230.03
"1344",123976,185.28,-185.28
"1345",123977,176.08,-179.09
"1346",123978,172.67,-177.12
"1347",123979,87.49,-78.22
"1348",123984,45.08,-50.26
"1349",123986,41.84,-46.66
"1350",123987,40.46,-28.55
"1351",123988,170.65,-177.38
"1352",123989,22.94,-29.29
"1353",123990,398.85,-311.18
"1354",123991,294.7,-294.7
"1355",123992,360.14,-360.14
"1356",123993,265.61,-313.9
"1357",123994,314.45,-314.45
"1358",123997,220.24,-255.05
"1359",123998,215.32,-184.73
