"","trip_id","distance","end","start","trip_duration"
"142","1096863",10.0011526563,"6:38:00","6:00:00",2280
"143","1096864",10.0011526563,"7:38:00","7:00:00",2280
"144","1096865",10.0011526563,"25:08:00","24:30:00",2280
"145","1096866",10.0011526563,"23:38:00","23:00:00",2280
"146","1096867",10.0011526563,"22:08:00","21:30:00",2280
"147","1096868",10.0011526563,"20:38:00","20:00:00",2280
"148","1096869",10.0011526563,"19:08:00","18:30:00",2280
"149","1096870",10.0011526563,"14:38:00","14:00:00",2280
"150","1096871",10.0011526563,"17:38:00","17:00:00",2280
"151","1096872",10.0011526563,"16:38:00","16:00:00",2280
"152","1096873",10.0011526563,"15:38:00","15:00:00",2280
"153","1096874",10.0011526563,"13:08:00","12:30:00",2280
"154","1096875",10.0011526563,"11:38:00","11:00:00",2280
"155","1096876",10.0011526563,"10:08:00","9:30:00",2280
"156","1096877",10.0011526563,"8:38:00","8:00:00",2280
"157","1096878",9.6319961452,"5:52:00","5:15:00",2220
"158","1096879",9.6319961452,"24:22:00","23:45:00",2220
"159","1096880",9.6319961452,"22:52:00","22:15:00",2220
"160","1096881",9.6319961452,"21:22:00","20:45:00",2220
"161","1096882",9.6319961452,"19:52:00","19:15:00",2220
"162","1096883",9.6319961452,"17:52:00","17:15:00",2220
"163","1096884",9.6319961452,"15:22:00","14:45:00",2220
"164","1096885",9.6319961452,"18:52:00","18:15:00",2220
"165","1096886",9.6319961452,"16:52:00","16:15:00",2220
"166","1096887",9.6319961452,"13:52:00","13:15:00",2220
"167","1096888",9.6319961452,"12:22:00","11:45:00",2220
"168","1096889",9.6319961452,"10:52:00","10:15:00",2220
"169","1096890",9.6319961452,"9:52:00","9:15:00",2220
"170","1096891",9.6319961452,"8:52:00","8:15:00",2220
"171","1096892",9.6319961452,"7:52:00","7:15:00",2220
"172","1096893",9.6319961452,"6:52:00","6:15:00",2220
"173","1096922",10.331535617,"25:03:00","24:30:00",1980
"174","1096923",10.331535617,"23:33:00","23:00:00",1980
"175","1096924",10.331535617,"22:03:00","21:30:00",1980
"176","1096925",10.331535617,"20:33:00","20:00:00",1980
"177","1096926",10.331535617,"19:33:00","19:00:00",1980
"178","1096927",10.331535617,"18:33:00","18:00:00",1980
"179","1096928",10.331535617,"17:33:00","17:00:00",1980
"180","1096929",10.331535617,"16:33:00","16:00:00",1980
"181","1096930",10.331535617,"15:33:00","15:00:00",1980
"182","1096931",10.331535617,"14:33:00","14:00:00",1980
"183","1096932",11.0803498091,"13:37:00","13:00:00",2220
