route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
10899,10,1211459,331 - HIGH RIDGE RD-Stamford Museum,0,91386,122586
10899,10,1211460,331 - HIGH RIDGE RD-Stamford Museum,0,91394,122586
10899,10,1211461,331B - HIGH RIDGE RD-Briar Brae Rd,0,91386,122585
10899,10,1211462,331B - HIGH RIDGE RD-Briar Brae Rd,0,91395,122585
10899,10,1211463,331 - HIGH RIDGE RD-Stamford Museum,0,91398,122586
10899,10,1211464,331 - HIGH RIDGE RD-Stamford Museum,0,91398,122586
10899,10,1211465,331B - HIGH RIDGE RD-Briar Brae Rd,0,91395,122585
10899,10,1211466,331B - HIGH RIDGE RD-Briar Brae Rd via High Ridge Park,0,91397,122583
10899,10,1211467,331S - HIGH RIDGE RD-Smith House,0,91394,122584
10899,10,1211468,331B - HIGH RIDGE RD-Briar Brae Rd via High Ridge Park,0,91396,122583
10899,10,1211469,331S - HIGH RIDGE RD-Smith House,0,91393,122584
10899,10,1211470,331B - HIGH RIDGE RD-Briar Brae Rd via High Ridge Park,0,91395,122583
10899,10,1211471,331B - HIGH RIDGE RD-Briar Brae Rd via High Ridge Park,0,91386,122583
10899,10,1211472,331S - HIGH RIDGE RD-Smith House,0,91395,122584
10899,10,1211473,331S - HIGH RIDGE RD-Smith House,0,91386,122584
10899,10,1211474,331B - HIGH RIDGE RD-Briar Brae Rd,0,91394,122585
10899,10,1211475,331S - HIGH RIDGE RD-Smith House,0,91395,122584
10899,10,1211476,331S - HIGH RIDGE RD-Smith House,0,91386,122584
10899,10,1211477,331 - HIGH RIDGE RD-Stamford Museum,0,91386,122586
10899,10,1211478,331 - HIGH RIDGE RD-Stamford Museum,0,91395,122586
10899,10,1211479,331 - HIGH RIDGE RD-Stamford Museum,0,91386,122586
10899,10,1211480,331 - HIGH RIDGE RD-Stamford Museum,0,91394,122586
10899,10,1211481,331S - HIGH RIDGE RD-Smith House,0,91396,122584
10899,10,1211482,331 - HIGH RIDGE RD-Stamford Museum,0,91398,122586
10899,10,1211483,331S - HIGH RIDGE RD-Smith House,0,91394,122584
10899,10,1211484,331S - HIGH RIDGE RD-Smith House,0,91376,122584
10899,10,1211485,331 - HIGH RIDGE RD-Stamford Museum,0,91395,122586
10899,10,1211486,331B - HIGH RIDGE RD-Briar Brae Rd,0,91394,122585
10899,10,1211487,331S - HIGH RIDGE RD-Smith House,0,91398,122584
10899,10,1211488,331 - HIGH RIDGE RD-Stamford Museum,0,91386,122586
10899,10,1211489,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91396,122591
10899,10,1211490,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91395,122590
10899,10,1211491,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91394,122588
10899,10,1211492,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91394,122590
10899,10,1211493,331 - HIGH RIDGE RD-Stamford Trans Ctr,1,91395,122590
