fips,pollutant,year,pred_wght,state_abbr,lat,lon
090117111001,pm25,2015,6.05684259440559,CT,41.6302562237762,-72.0656835664336
090117111002,pm25,2015,6.43451004504504,CT,41.6186545688546,-72.0898494208494
090117121001,pm25,2015,5.99027439153439,CT,41.6238180776014,-72.1308453262787
090117121002,pm25,2015,6.42791285532995,CT,41.5987958121827,-72.1583649746193
090117131001,pm25,2015,6.23803020958084,CT,41.5606422754491,-72.1622740119761
090117131002,pm25,2015,5.92401360501567,CT,41.5253146290491,-72.1831549634274
090117141011,pm25,2015,6.81658454907162,CT,41.5769611405836,-72.3409165782493
090117141012,pm25,2015,6.95224148648649,CT,41.5831002702703,-72.3352852252252
090117141013,pm25,2015,6.66528337380192,CT,41.5674491373802,-72.324698658147
090117141031,pm25,2015,5.79526889664804,CT,41.5677874301676,-72.3764065642458
090117141032,pm25,2015,5.67910051364943,CT,41.5450858477012,-72.3803469827586
090117141033,pm25,2015,5.54771126013724,CT,41.5756014348097,-72.4224246412976
090117141034,pm25,2015,5.94310165597668,CT,41.5434671137026,-72.3293479883382
090117141041,pm25,2015,5.96565917370547,CT,41.5849560411311,-72.3170225486596
090117141042,pm25,2015,5.81466243912678,CT,41.5502527287993,-72.2787638958858
090117151001,pm25,2015,5.85496686774942,CT,41.5116767401392,-72.2539766241299
090117151002,pm25,2015,5.65245116604862,CT,41.4738900288422,-72.261964276885
090117161011,pm25,2015,6.30968004063664,CT,41.3254729766339,-72.2334858449035
090117161012,pm25,2015,6.54997617792422,CT,41.3332076880835,-72.2142629873696
090117161013,pm25,2015,5.86504621722846,CT,41.3493197752809,-72.2521486891386
090117161021,pm25,2015,5.79447830893488,CT,41.3617770822817,-72.2321876325088
090117161022,pm25,2015,6.28364551776266,CT,41.3842637188209,-72.2127000755858
090117161023,pm25,2015,5.92600766534765,CT,41.3932187676653,-72.2319853589599
090118701001,pm25,2015,6.08919733766234,CT,41.683656737013,-72.2385703733766
090118701002,pm25,2015,6.26881540937056,CT,41.6461606247042,-72.2073302886891
090118701003,pm25,2015,5.90129925810474,CT,41.5822510598504,-72.2335983167082
090118701004,pm25,2015,6.08043185915493,CT,41.6330516619718,-72.2692130704225
090118701005,pm25,2015,6.25824773972603,CT,41.6310087328767,-72.3088493150685
090118702001,pm25,2015,6.41267193792581,CT,41.3914910673732,-72.0728556396669
090118702002,pm25,2015,6.04215691995947,CT,41.367706585613,-72.0544583586626
090118702003,pm25,2015,6.95522641325536,CT,41.3784421052632,-72.0581256660169
090118702004,pm25,2015,7.2330459122807,CT,41.3768886549708,-72.0686031578947
090118703001,pm25,2015,7.64294709944751,CT,41.3604466850829,-72.0984897790055
090118703002,pm25,2015,7.14867563679245,CT,41.3667547169811,-72.0999321933962
090118703003,pm25,2015,6.30239913162393,CT,41.3780193504274,-72.1041785641026
090118703004,pm25,2015,6.96058981263012,CT,41.3718117279667,-72.1110577376822
090118705011,pm25,2015,6.83089539974619,CT,41.4886483502538,-72.1017416878173
090118705012,pm25,2015,6.41485205555556,CT,41.473381984127,-72.1093066666667
090118705013,pm25,2015,6.56307579559363,CT,41.4717485924113,-72.0904043451652
090118705021,pm25,2015,6.10761263026261,CT,41.448346477699,-72.1060020008337
090118705022,pm25,2015,7.26796822384428,CT,41.4334197080292,-72.1098430656934
090118707011,pm25,2015,6.08326649350649,CT,41.3503382653061,-72.2004074211503
090118707031,pm25,2015,6.53232615208691,CT,41.3091188679245,-72.2291414522584
090118707041,pm25,2015,6.92314694508009,CT,41.3308040045767,-72.1895248283753
090118707042,pm25,2015,7.24905349365751,CT,41.3213686046512,-72.2023842494715
090118707043,pm25,2015,6.45443254977029,CT,41.3004408882083,-72.2108268759571
090119800001,pm25,2015,6.62932684787792,CT,41.3955167858846,-72.0849486886028
090135261011,pm25,2015,5.70268113144759,CT,41.6250282861897,-72.3695212978369
090135261012,pm25,2015,5.88976646441074,CT,41.635320915986,-72.360653588098
090135261021,pm25,2015,6.11400408056042,CT,41.7142579684764,-72.4226714535902
090135261022,pm25,2015,5.69824575795645,CT,41.6724924623116,-72.414680318258
090135261023,pm25,2015,5.88668821756225,CT,41.6820389908257,-72.3691671035387
090135281001,pm25,2015,5.82056180172414,CT,41.7526331896552,-72.3862688793104
090135281002,pm25,2015,5.85386268782081,CT,41.723390760616,-72.371011339244
090135291001,pm25,2015,6.0629727198364,CT,41.7792169734151,-72.4553356850716
090135291002,pm25,2015,5.91727171949287,CT,41.7513705229794,-72.4545754358162
090135291003,pm25,2015,6.06189556503198,CT,41.788892039801,-72.4274368159204
090135291004,pm25,2015,6.04975703675919,CT,41.7502606901725,-72.4255063015754
090135301001,pm25,2015,6.66668122424242,CT,41.86368,-72.4332704242424
090135301002,pm25,2015,6.89922696801113,CT,41.8601682892907,-72.4381044506259
090135301003,pm25,2015,6.82493215955984,CT,41.8702812929849,-72.4421737276479
090135302001,pm25,2015,7.04040283105023,CT,41.8647347031963,-72.4464110502283
090135302002,pm25,2015,7.31564281424581,CT,41.8692604748603,-72.4549983938548
090135302003,pm25,2015,6.95225267337808,CT,41.8585234340045,-72.456219295302
