"","route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id","distance","end","start","trip_duration","dwell_minutes","driving_minutes","total_dist"
"60","9948","16","1096763","501 Arch St-Downtown New Britain-Dwntn NB Sta",1,"83340","114179",15.4213,"8:53:00","8:30:00",1380,693,644,409.399
"61","9948","14","1096764","501C ARCH ST-Hosp of Central CT-ClinicDr",0,"83342","114178",3.6751,"24:40:00","24:30:00",600,303,904,584.2106
"62","9948","14","1096765","501 ARCH ST-Downtown New Britain-Dwntn NB Station",0,"83343","116478",18.6407,"6:29:00","6:00:00",1740,303,904,584.2106
"63","9948","14","1096766","501 ARCH ST-Downtown New Britain-Dwntn NB Station",0,"83343","114177",18.078,"23:29:00","23:00:00",1740,303,904,584.2106
"64","9948","14","1096767","501 ARCH ST-Downtown New Britain-Dwntn NB Station",0,"83342","114177",18.078,"21:59:00","21:30:00",1740,303,904,584.2106
"65","9948","14","1096768","501 ARCH ST-Downtown New Britain-Dwntn NB Station",0,"83343","114177",18.078,"20:29:00","20:00:00",1740,303,904,584.2106
"66","9948","14","1096769","501 ARCH ST-Downtown New Britain-Dwntn NB Station",0,"83342","114177",18.078,"19:29:00","19:00:00",1740,303,904,584.2106
"67","9948","14","1096770","501 ARCH ST-Downtown New Britain-Dwntn NB Station",0,"83343","116478",18.6407,"18:29:00","18:00:00",1740,303,904,584.2106
"68","9948","14","1096771","501 ARCH ST-Downtown New Britain-Dwntn NB Station",0,"83342","116478",18.6407,"17:29:00","17:00:00",1740,303,904,584.2106
"69","9948","14","1096772","501 ARCH ST-Downtown New Britain-Dwntn NB Station",0,"83343","116478",18.6407,"16:29:00","16:00:00",1740,303,904,584.2106
"70","9948","14","1096773","501 ARCH ST-Downtown New Britain-Dwntn NB Station",0,"83342","116478",18.6407,"15:29:00","15:00:00",1740,303,904,584.2106
"71","9948","14","1096774","501 ARCH ST-Downtown New Britain-Dwntn NB Station",0,"83343","116478",18.6407,"14:29:00","14:00:00",1740,303,904,584.2106
"72","9948","14","1096775","501 ARCH ST-Downtown New Britain-Dwntn NB Station",0,"83342","116478",18.6407,"13:29:00","13:00:00",1740,303,904,584.2106
"73","9948","14","1096776","501 ARCH ST-Downtown New Britain-Dwntn NB Station",0,"83343","116478",18.6407,"12:29:00","12:00:00",1740,303,904,584.2106
"74","9948","14","1096777","501 ARCH ST-Downtown New Britain-Dwntn NB Station",0,"83342","116478",18.6407,"11:29:00","11:00:00",1740,303,904,584.2106
"75","9948","14","1096778","501 ARCH ST-Downtown New Britain-Dwntn NB Station",0,"83343","116478",18.6407,"10:29:00","10:00:00",1740,303,904,584.2106
"76","9948","14","1096779","501 ARCH ST-Downtown New Britain-Dwntn NB Station",0,"83342","116478",18.6407,"9:29:00","9:00:00",1740,303,904,584.2106
"77","9948","14","1096780","501 ARCH ST-Downtown New Britain-Dwntn NB Station",0,"83343","116478",18.6407,"8:29:00","8:00:00",1740,303,904,584.2106
"78","9948","14","1096781","501 ARCH ST-Downtown New Britain-Dwntn NB Station",0,"83342","116478",18.6407,"7:29:00","7:00:00",1740,303,904,584.2106
"79","9948","14","1096782","501 Arch St-Downtown New Britain-Dwntn NB Sta",1,"83343","114179",15.4213,"24:13:00","23:50:00",1380,303,904,584.2106
"80","9948","14","1096783","501 Arch St-Downtown New Britain-Dwntwn NB Sta",1,"83342","114180",3.7323,"5:53:00","5:43:00",600,303,904,584.2106
"81","9948","14","1096784","501 Arch St-Downtown New Britain-Dwntn NB Sta",1,"83343","114179",15.4213,"6:53:00","6:30:00",1380,303,904,584.2106
"82","9948","14","1096785","501 Arch St-Downtown New Britain-Dwntn NB Sta",1,"83342","114179",15.4213,"22:43:00","22:20:00",1380,303,904,584.2106
"83","9948","14","1096786","501 Arch St-Downtown New Britain-Dwntn NB Sta",1,"83343","114179",15.4213,"21:13:00","20:50:00",1380,303,904,584.2106
"84","9948","14","1096787","501 Arch St-Downtown New Britain-Dwntn NB Sta",1,"83342","114179",15.4213,"19:53:00","19:30:00",1380,303,904,584.2106
"85","9948","14","1096788","501 Arch St-Downtown New Britain-Dwntn NB Sta",1,"83343","114179",15.4213,"18:53:00","18:30:00",1380,303,904,584.2106
"86","9948","14","1096789","501 Arch St-Downtown New Britain-Dwntn NB Sta",1,"83342","114179",15.4213,"17:53:00","17:30:00",1380,303,904,584.2106
"87","9948","14","1096790","501 Arch St-Downtown New Britain-Dwntn NB Sta",1,"83343","114179",15.4213,"16:53:00","16:30:00",1380,303,904,584.2106
"88","9948","14","1096791","501 Arch St-Downtown New Britain-Dwntn NB Sta",1,"83342","114179",15.4213,"15:53:00","15:30:00",1380,303,904,584.2106
"89","9948","14","1096792","501 Arch St-Downtown New Britain-Dwntn NB Sta",1,"83343","114179",15.4213,"14:53:00","14:30:00",1380,303,904,584.2106
"90","9948","14","1096793","501 Arch St-Downtown New Britain-Dwntn NB Sta",1,"83342","114179",15.4213,"13:53:00","13:30:00",1380,303,904,584.2106
"91","9948","14","1096794","501 Arch St-Downtown New Britain-Dwntn NB Sta",1,"83343","114179",15.4213,"12:53:00","12:30:00",1380,303,904,584.2106
