"","trip_id","distance","end","start","trip_duration"
"10173","1206258",4.8984,"15:23:00","15:05:00",1080
"10174","1206259",4.8984,"16:03:00","15:45:00",1080
"10175","1206260",4.8984,"16:43:00","16:25:00",1080
"10176","1206261",4.8984,"17:18:00","17:00:00",1080
"10177","1206262",3.7841,"7:10:00","7:00:00",600
"10178","1206263",3.7841,"7:40:00","7:30:00",600
"10179","1206264",3.7841,"8:10:00","8:00:00",600
"10180","1206265",3.7841,"8:40:00","8:30:00",600
"10181","1206266",3.7841,"9:10:00","9:00:00",600
"10182","1206267",3.7841,"9:40:00","9:30:00",600
"10183","1206268",3.7841,"10:10:00","10:00:00",600
"10184","1206269",3.7841,"11:10:00","11:00:00",600
"10185","1206270",3.7841,"12:10:00","12:00:00",600
"10186","1206271",3.7841,"13:10:00","13:00:00",600
"10187","1206272",3.7841,"13:40:00","13:30:00",600
"10188","1206273",3.7841,"14:10:00","14:00:00",600
"10189","1206274",3.7841,"14:40:00","14:30:00",600
"10190","1206275",3.7841,"15:10:00","15:00:00",600
"10191","1206276",3.7841,"15:40:00","15:30:00",600
"10192","1206277",3.7841,"16:10:00","16:00:00",600
"10193","1206278",3.7841,"16:40:00","16:30:00",600
"10194","1206279",3.7841,"17:10:00","17:00:00",600
"10195","1206280",3.7841,"17:40:00","17:30:00",600
"10196","1206281",4.8984,"7:28:00","7:10:00",1080
"10197","1206282",4.8984,"7:58:00","7:40:00",1080
"10198","1206283",4.8984,"8:28:00","8:10:00",1080
"10199","1206284",4.8984,"8:58:00","8:40:00",1080
"10200","1206285",4.8984,"9:28:00","9:10:00",1080
"10201","1206286",4.8984,"9:58:00","9:40:00",1080
"10202","1206287",4.8984,"10:28:00","10:10:00",1080
"10203","1206288",4.8984,"11:28:00","11:10:00",1080
"10204","1206289",4.8984,"12:28:00","12:10:00",1080
"10205","1206290",4.8984,"13:28:00","13:10:00",1080
"10206","1206291",4.8984,"13:58:00","13:40:00",1080
"10207","1206292",4.8984,"14:58:00","14:40:00",1080
"10208","1206293",4.8984,"15:58:00","15:40:00",1080
"10209","1206294",4.8984,"16:58:00","16:40:00",1080
"10210","1206295",4.8984,"17:58:00","17:40:00",1080
"10211","1206296",4.8984,"14:28:00","14:10:00",1080
"10212","1206297",4.8984,"15:28:00","15:10:00",1080
"10213","1206298",4.8984,"16:28:00","16:10:00",1080
"10214","1206299",4.8984,"17:28:00","17:10:00",1080
"10215","1206300",5.0685,"6:50:00","6:30:00",1200
"10216","1206301",5.0685,"7:50:00","7:30:00",1200
"10217","1206302",5.0685,"8:50:00","8:30:00",1200
"10218","1206303",5.0685,"9:50:00","9:30:00",1200
"10219","1206304",5.0685,"10:50:00","10:30:00",1200
"10220","1206305",5.0685,"11:50:00","11:30:00",1200
"10221","1206306",5.0685,"12:50:00","12:30:00",1200
"10222","1206307",5.0685,"13:50:00","13:30:00",1200
"10223","1206308",5.0685,"14:50:00","14:30:00",1200
"10224","1206309",5.0685,"15:50:00","15:30:00",1200
"10225","1206310",5.0685,"16:50:00","16:30:00",1200
"10226","1206311",2.3522,"6:58:00","6:50:00",480
"10227","1206312",2.3522,"7:58:00","7:50:00",480
"10228","1206313",2.3522,"8:58:00","8:50:00",480
"10229","1206314",2.3522,"9:58:00","9:50:00",480
"10230","1206315",2.3522,"10:58:00","10:50:00",480
"10231","1206316",2.3522,"11:58:00","11:50:00",480
"10232","1206317",2.3522,"12:58:00","12:50:00",480
"10233","1206318",2.3522,"13:58:00","13:50:00",480
"10234","1206319",2.3522,"14:58:00","14:50:00",480
"10235","1206320",2.3522,"15:58:00","15:50:00",480
"10236","1206321",2.3522,"16:58:00","16:50:00",480
"10237","1206322",5.9615,"7:13:00","7:00:00",780
"10238","1206323",5.9615,"8:13:00","8:00:00",780
