GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US090034738002,090034738002,"Block Group 2, Census Tract 4738, Hartford County, Connecticut",463,166,112,70,323,166,0,12,0,12,0,12,0,12,28,44,0,12,28,44
1500000US090034761001,090034761001,"Block Group 1, Census Tract 4761, Hartford County, Connecticut",1817,287,1573,285,56,61,0,12,129,113,0,12,2,3,57,45,0,12,57,45
1500000US090034761002,090034761002,"Block Group 2, Census Tract 4761, Hartford County, Connecticut",1437,320,1146,242,266,226,0,12,0,12,0,12,0,12,25,26,0,12,25,26
1500000US090034761003,090034761003,"Block Group 3, Census Tract 4761, Hartford County, Connecticut",1484,303,1246,332,76,68,7,12,155,120,0,12,0,12,0,12,0,12,0,12
1500000US090034762001,090034762001,"Block Group 1, Census Tract 4762, Hartford County, Connecticut",1658,242,1575,245,17,27,20,32,0,12,0,12,35,53,11,16,0,12,11,16
1500000US090034762002,090034762002,"Block Group 2, Census Tract 4762, Hartford County, Connecticut",1012,191,980,199,0,12,0,12,9,16,0,12,0,12,23,29,0,12,23,29
1500000US090034763001,090034763001,"Block Group 1, Census Tract 4763, Hartford County, Connecticut",1064,276,736,215,93,108,0,12,147,167,0,12,88,143,0,12,0,12,0,12
1500000US090034763002,090034763002,"Block Group 2, Census Tract 4763, Hartford County, Connecticut",2019,472,1883,457,76,114,0,12,0,12,0,12,36,56,24,42,0,12,24,42
1500000US090034763003,090034763003,"Block Group 3, Census Tract 4763, Hartford County, Connecticut",963,169,668,155,0,12,0,12,167,134,0,12,0,12,128,139,0,12,128,139
1500000US090034763004,090034763004,"Block Group 4, Census Tract 4763, Hartford County, Connecticut",1109,369,831,251,232,266,0,12,24,42,0,12,0,12,22,35,0,12,22,35
